fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
01037,39,10,0,7,9,80,32.3,22.3333,13.3,40.7,41.9667,0.2259294566253575,0.4875,0.125,0.0,0.0875,0.1125,01
01039,648,220,28,1293,161,2634,30.5929,21.6857,13.2857,36.6143,45.1643,0.1706071628427532,0.2460136674259681,0.08352315869400152,0.010630220197418374,0.4908883826879271,0.061123766135155654,01
01041,93,14,5,23,19,184,32.6,22.7667,13.35,39.75,40.7667,0.4719760616871907,0.5054347826086957,0.07608695652173914,0.02717391304347826,0.125,0.10326086956521739,01
01043,1255,230,32,504,196,2625,30.5889,21.5778,15.0167,35.6944,38.6611,0.1893206597707576,0.4780952380952381,0.08761904761904762,0.01219047619047619,0.192,0.07466666666666667,01
01045,574,117,23,244,118,1318,29.1643,20.3214,15.2214,36.6571,38.4429,0.503182231458631,0.4355083459787557,0.08877086494688922,0.017450682852807285,0.18512898330804248,0.08952959028831563,01
01047,435,117,20,146,136,1064,35.72,23.3867,11.18,43.6733,47.14,0.1868645847920459,0.40883458646616544,0.1099624060150376,0.018796992481203006,0.13721804511278196,0.12781954887218044,01
01049,741,175,23,305,168,1730,32.25,23.55,14.5929,36.6214,42.0143,,0.4283236994219653,0.10115606936416185,0.013294797687861272,0.17630057803468208,0.09710982658959537,01
01051,929,255,40,410,239,2279,25.4933,19.34,15.0733,38.0533,37.5,0.5476155859261413,0.4076349275998245,0.11189118034225537,0.017551557700745943,0.1799034664326459,0.104870557261957,01
01053,455,165,38,179,220,1334,33.8556,23.7444,12.9333,41.7889,43.3556,0.1206401798656923,0.3410794602698651,0.12368815592203898,0.02848575712143928,0.13418290854572715,0.16491754122938532,01
01055,6714,1792,458,2910,1897,16849,33.06,22.5367,12.8167,40.9167,42.8933,0.6107994591640057,0.39848062199537065,0.10635646032405484,0.02718262211407205,0.17271054661997745,0.11258828417116742,01
01057,141,65,4,58,33,384,32.88,23.4,13.92,39.88,39.22,0.0127923402919478,0.3671875,0.16927083333333334,0.010416666666666666,0.15104166666666666,0.0859375,01
01059,312,80,14,126,68,731,31.3111,22.3333,14.9333,36.7,37.3778,0.1416540499621499,0.426812585499316,0.1094391244870041,0.019151846785225718,0.17236662106703146,0.09302325581395349,01
01061,186,48,6,74,46,442,32.3333,22.9333,14.3167,38.1,37.4833,0.2134157944814462,0.42081447963800905,0.1085972850678733,0.013574660633484163,0.167420814479638,0.10407239819004525,01
01063,42,5,1,12,8,86,43.0,26.9333,9.7,47.3667,48.6,0.3284687672747374,0.4883720930232558,0.05813953488372093,0.011627906976744186,0.13953488372093023,0.09302325581395349,01
01065,117,36,24,50,46,335,36.95,23.45,11.8833,43.7333,46.9667,0.2305761992085706,0.3492537313432836,0.10746268656716418,0.07164179104477612,0.14925373134328357,0.1373134328358209,01
01067,104,34,6,46,41,268,32.2167,21.7167,12.85,39.4833,43.3,0.421371610845295,0.3880597014925373,0.12686567164179105,0.022388059701492536,0.17164179104477612,0.15298507462686567,01
01069,1942,508,101,784,463,4718,35.1545,22.2773,13.1136,40.0591,40.75,0.2335214739846892,0.4116150911403137,0.10767274268757948,0.021407376006782535,0.1661721068249258,0.09813480288257737,01
01071,741,129,15,265,137,1550,30.3273,22.7545,13.9909,39.7636,40.9455,0.2250598563447725,0.4780645161290323,0.0832258064516129,0.00967741935483871,0.17096774193548386,0.08838709677419355,01
01073,34209,8522,1495,14098,7158,79350,27.6638,17.6337,13.527,38.527,40.0791,0.4460675550900597,0.4311153119092628,0.10739760554505356,0.01884057971014493,0.17766855702583492,0.09020793950850661,01
01075,126,26,6,54,27,284,31.8,22.8333,13.5667,39.0,40.2,0.0085560469140549,0.44366197183098594,0.09154929577464789,0.02112676056338028,0.19014084507042253,0.09507042253521127,01
