FIPS,LAPOP1_10,Pop2010,diet_prevalence
6087,59254.0,187500,0.3160213333333333
6089,35905.0,116941,0.30703517158225085
6091,2859.0,3240,0.8824074074074074
6093,12860.0,40494,0.31757791277720154
6095,89524.0,259990,0.34433632062771646
6097,64341.0,273270,0.23544845756943683
6099,49752.0,303778,0.1637774954078307
6101,25089.0,68213,0.3678037910662191
6103,12115.0,52176,0.2321948788715118
6105,2428.0,13786,0.17612070216161324
6107,49420.0,263960,0.18722533717229883
6109,15411.0,38062,0.4048920182859545
6111,122611.0,433211,0.2830283626223711
6113,27477.0,122504,0.22429471690720304
6115,15487.0,58422,0.2650884940604567
8001,79140.0,289164,0.273685521019214
8003,4278.0,15445,0.2769828423438006
8005,78022.0,281474,0.2771907884920099
8007,4940.0,12084,0.4088050314465409
8009,956.0,3788,0.25237592397043296
8011,808.0,6499,0.12432681951069395
8013,50451.0,182129,0.27700695660767916
8014,21134.0,51048,0.4140025074439743
8015,1924.0,17809,0.10803526306923465
8017,622.0,1836,0.33877995642701525
8019,1116.0,7478,0.14923776410805029
8021,466.0,8256,0.056443798449612406
8023,3524.0,3524,1.0
8025,107.0,5823,0.018375407865361498
8027,1036.0,4255,0.24347826086956523
8029,2725.0,30952,0.08803954510209357
8031,64735.0,189800,0.3410695468914647
8033,2064.0,2064,1.0
8035,78035.0,213524,0.3654624304527828
8037,8271.0,39440,0.209710953346856
8039,6106.0,19674,0.3103588492426553
8041,177463.0,449569,0.39474029570544233
8043,24170.0,46824,0.5161882795147787
8045,9932.0,45294,0.2192784916324458
8049,419.0,14843,0.028228794718048913
8051,1499.0,15324,0.09782041242495432
8053,99.0,843,0.11743772241992882
8055,2435.0,6711,0.36283713306511695
8057,381.0,1394,0.2733142037302726
8059,123877.0,381796,0.3244586114050435
8061,1398.0,1398,1.0
8063,2167.0,8270,0.26203143893591296
8065,3306.0,7310,0.45225718194254444
8067,7623.0,46190,0.16503572201775277
8069,69675.0,194809,0.3576580137467981
8071,4930.0,15507,0.3179209389308054
8073,1254.0,5467,0.22937625754527163
8075,5493.0,15361,0.3575939066467027
8077,47674.0,119724,0.3981991914737229
8079,91.0,712,0.12780898876404495
8081,5813.0,13795,0.4213845596230518
8083,3679.0,19781,0.18598655275264142
8085,9076.0,37967,0.23904970105618037
8087,4235.0,22042,0.19213320025406044
8089,2117.0,13395,0.15804404628592758
8091,235.0,4436,0.05297565374211001
8093,8732.0,16206,0.5388127853881278
8095,207.0,4442,0.04660063034669068
8097,1560.0,17148,0.09097270818754374
8099,3753.0,12551,0.29901999840650145
8101,66124.0,138004,0.4791455320135648
8103,573.0,6666,0.08595859585958596
8105,2108.0,10052,0.20970951054516515
8107,2838.0,14171,0.20026815327076425
8109,2067.0,6108,0.33840864440078583
8111,694.0,699,0.9928469241773963
8113,719.0,3500,0.20542857142857143
8115,442.0,2379,0.18579234972677597
8117,2620.0,27994,0.09359148388940487
8119,4134.0,23350,0.17704496788008564
8121,2485.0,4814,0.5162027420024927
8123,58455.0,162655,0.35938028342196676
8125,2300.0,10043,0.22901523449168576
9001,255544.0,582909,0.43839432913199144
9003,244717.0,585726,0.41780115617199853
9005,43705.0,91593,0.4771652855567565
9007,58929.0,110080,0.5353288517441861
9009,269515.0,647914,0.41597341622499284
9011,106957.0,182166,0.5871403006049427
9013,49890.0,83649,0.5964207581680594
9015,16855.0,53150,0.31712135465663216
10001,35059.0,97559,0.3593620270810484
10003,153725.0,393596,0.39056545290094413
